num_load_level;;;;;;;;;;;;
1;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
84;12;2022;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
85;1;2023;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
86;2;2023;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
87;3;2023;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
88;4;2023;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
89;5;2023;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
90;6;2023;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
91;7;2023;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
92;8;2023;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
93;9;2023;0.9554;0.994;1;1;0.9282;1.0742;1;1.0747;1.0309;0.8591
94;10;2023;0.9547;0.994;1;1;0.9288;1.0735;1;1.0822;1.0306;0.8602
95;11;2023;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0802;1.0323;0.8537
96;12;2023;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
97;1;2024;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
98;2;2024;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
99;3;2024;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
100;4;2024;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
101;5;2024;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
102;6;2024;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
103;7;2024;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
104;8;2024;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
105;9;2024;0.9554;0.994;1;1;0.9282;1.0742;1;1.0747;1.0309;0.8591
106;10;2024;0.9547;0.994;1;1;0.9288;1.0735;1;1.0822;1.0306;0.8602
107;11;2024;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0802;1.0323;0.8537
108;12;2024;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
109;1;2025;0.9548;0.994;1;1;0.9287;1.0736;1;1.075;1.0307;0.8599
110;2;2025;0.9558;0.994;1;1;0.9278;1.0747;1;1.0699;1.0311;0.8583
111;3;2025;0.9548;0.994;1;1;0.9287;1.0736;1;1.0682;1.0307;0.8599
112;4;2025;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0736;1.0323;0.8537
113;5;2025;0.958;0.9942;1;1;0.9258;1.0771;1;1.0989;1.0321;0.8548
114;6;2025;0.9554;0.994;1;1;0.9282;1.0742;1;1.094;1.0309;0.8591
115;7;2025;0.9517;0.9938;1;1;0.9315;1.0702;1;1.0863;1.0293;0.8652
116;8;2025;0.9548;0.994;1;1;0.9287;1.0736;1;1.0764;1.0307;0.8599
117;9;2025;0.9554;0.994;1;1;0.9282;1.0742;1;1.0747;1.0309;0.8591
118;10;2025;0.9547;0.994;1;1;0.9288;1.0735;1;1.0822;1.0306;0.8602
119;11;2025;0.9586;0.9942;1;1;0.9252;1.0778;1;1.0802;1.0323;0.8537
120;12;2025;0.9548;0.994;1;1;0.9287;1.0736;1;1.082;1.0307;0.8599
end;;;;;;;;;;;;
num_load_level;;;;;;;;;;;;
2;;;;;;;;;;;;
stage;month;year;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection;num_interconnection
-1;-1;-1;1;2;3;4;5;6;7;8;9;10
1;1;2016;1;1.0079;1;1;0.9526;1.0525;1;1.0279;1;1
2;2;2016;1;1.0078;1;1;0.9542;1.0511;1;1.0238;1;1
3;3;2016;1;1.0077;1;1;0.9549;1.0505;1;1.0304;1;1
4;4;2016;1;1.0078;1;1;0.9545;1.0508;1;1.0329;1;1
5;5;2016;1;1.0079;1;1;0.9526;1.0525;1;1.0442;1;1
6;6;2016;1;1.0075;1;1;0.9569;1.0488;1;1.0313;1;1
7;7;2016;1;1.0077;1;1;0.9549;1.0505;1;1.0339;1;1
8;8;2016;1;1.0075;1;1;0.9572;1.0486;1;1.0314;1;1
9;9;2016;1;1.0078;1;1;0.9545;1.0508;1;1.0307;1;1
10;10;2016;1;1.0079;1;1;0.9527;1.0524;1;1.0311;1;1
11;11;2016;1;1.008;1;1;0.9522;1.0529;1;1.0244;1;1
12;12;2016;1;1.0075;1;1;0.9572;1.0486;1;1.0175;1;1
13;1;2017;1;1.0077;1;1;0.9549;1.0505;1;1.0262;1;1
14;2;2017;1;1.0078;1;1;0.968;1.047;1;1.0238;1;0.9132
15;3;2017;1;1.0075;1;1;0.97;1.0439;1;1.0284;1;0.9182
16;4;2017;1;1.0082;1;1;0.9657;1.0507;1;1.0364;1;0.9074
17;5;2017;1;1.0077;1;1;0.9686;1.046;1;1.0414;1;0.9149
18;6;2017;1;1.0078;1;1;0.9684;1.0463;1;1.0331;1;0.9143
19;7;2017;1;1.0077;1;1;0.9686;1.046;1;1.0335;1;0.9149
20;8;2017;1;1.0075;1;1;0.97;1.0439;1;1.0311;1;0.9182
21;9;2017;1;1.0078;1;1;0.9684;1.0463;1;1.0305;1;0.9143
22;10;2017;1;1.0079;1;1;0.9674;1.0671;1;1.0309;1.032;0.855
23;11;2017;1.0139;1.0068;1;1;0.9671;1.0678;1;1.0242;1.0323;0.8537
24;12;2017;1.0137;1.0068;1;1;0.9673;1.0672;1;1.0201;1.0321;0.8548
25;1;2018;1.0132;1.0066;1;1;0.9686;1.0643;1;1.026;1.0307;0.8599
26;2;2018;1.0134;1.0067;1;1;0.968;1.0657;1;1.0235;1.0314;0.8573
27;3;2018;1.0132;1.0066;1;1;0.9287;1.0736;1;1.0296;1.0307;0.8599
28;4;2018;1.0139;1.0068;1;1;0.9252;1.0778;1;1.034;1.0323;0.8537
29;5;2018;1.0137;1.0068;1;1;0.9258;1.0771;1;1.0431;1.0321;0.8548
30;6;2018;1.0127;1.0065;1;1;0.9312;1.0707;1;1.0305;1.0295;0.8645
31;7;2018;1.0132;1.0066;1;1;0.9287;1.0736;1;1.033;1.0307;0.8599
32;8;2018;1.0126;1.0064;1;1;0.9315;1.0702;1;1.0306;1.0293;0.8652
33;9;2018;1.0139;1.0068;1;1;0.9252;1.0778;1;1.0318;1.0323;0.8537
34;10;2018;1.0131;1.0066;1;1;0.9288;1.0735;1;1.0285;1.0306;0.8602
35;11;2018;1.0139;1.0068;1;1;0.9252;1.0778;1;1.0238;1.0323;0.8537
36;12;2018;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0197;1.0321;0.8548
37;1;2019;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0256;1.0307;0.8599
38;2;2019;1.1034;1.0065;1;1;0.9304;1.0716;1;1.0217;1.0299;0.8631
39;3;2019;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0309;1.0321;0.8548
40;4;2019;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0318;1.0309;0.8591
41;5;2019;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0404;1.0307;0.8599
42;6;2019;1.11;1.0068;1;1;0.9252;1.0778;1;1.0342;1.0323;0.8537
43;7;2019;1.102;1.0064;1;1;0.9315;1.0702;1;1.0307;1.0293;0.8652
44;8;2019;1.102;1.0064;1;1;0.9315;1.0702;1;1.0303;1.0293;0.8652
45;9;2019;1.11;1.0068;1;1;0.9252;1.0778;1;1.0316;1.0323;0.8537
46;10;2019;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0283;1.0306;0.8602
47;11;2019;1.11;1.0068;1;1;0.9252;1.0778;1;1.0236;1.0323;0.8537
48;12;2019;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0196;1.0321;0.8548
49;1;2020;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
50;2;2020;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
51;3;2020;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
52;4;2020;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
53;5;2020;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
54;6;2020;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
55;7;2020;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
56;8;2020;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
57;9;2020;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
58;10;2020;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
59;11;2020;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
60;12;2020;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
61;1;2021;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
62;2;2021;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
63;3;2021;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
64;4;2021;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
65;5;2021;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
66;6;2021;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
67;7;2021;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
68;8;2021;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
69;9;2021;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
70;10;2021;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
71;11;2021;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
72;12;2021;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
73;1;2022;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0249;1.0307;0.8599
74;2;2022;1.1067;1.0067;1;1;0.9278;1.0747;1;1.0224;1.0311;0.8583
75;3;2022;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0287;1.0307;0.8599
76;4;2022;1.11;1.0068;1;1;0.9252;1.0778;1;1.0329;1.0323;0.8537
77;5;2022;1.1092;1.0068;1;1;0.9258;1.0771;1;1.0416;1.0321;0.8548
78;6;2022;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0315;1.0309;0.8591
79;7;2022;1.102;1.0064;1;1;0.9315;1.0702;1;1.0299;1.0293;0.8652
80;8;2022;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0314;1.0307;0.8599
81;9;2022;1.1062;1.0067;1;1;0.9282;1.0742;1;1.0291;1.0309;0.8591
82;10;2022;1.1054;1.0066;1;1;0.9288;1.0735;1;1.0276;1.0306;0.8602
83;11;2022;1.11;1.0068;1;1;0.9252;1.0778;1;1.0231;1.0323;0.8537
84;12;2022;1.1056;1.0066;1;1;0.9287;1.0736;1;1.0178;1.0307;0.8599
