number;name;subsystem;basin;hydro plants downstream;hydro_plant_operating; run-of-river hydro plants;historical_inflow;max_generation;production_factor;maximum turbined outflow;minimum outflow;forced_indisponibility;programmer_indisponibility;min_volume;max_volume;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;initial_volume;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA
66;ITUTINGA    ;1;11;1;1;1;66;52;0.008819;236;24;1.83;3.177;11;11;886;886;886;886;857.7;0;886;0;0;0;0;1.6;0;0;0;0;2;5;31;40;48;44;30;24;27;19;6;8;0;856.09;0.00765;-5.45E-06;2.65E-09;-4.60E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12.5;57;25;2;1;14;63;25;2;1;13;59;25;2;0;0;0;0;0;0;0;0;0;0
67;FURNAS      ;1;11;68;1;0;67;1312;0.008633;1692;102;12.189;15.022;5733;22950;750;768;750;768;672.9;30.45;735.246;0.00349658;-1.97E-07;6.92E-12;-9.77E-17;178827;-385.277;0.0221355;0.000232793;0;13;2;25;40;52;51;43;42;39;18;12;27;0;671.633;0.00101738;-1.80E-07;2.51E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;164;211;90;1;2;164;213;89.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;M. DE MORAES;1;11;69;1;0;68;478;0.00834;1328;113;6.27;5.329;1540;4040;653.12;666.12;653.12;666.12;622;31.15;641.775;0.00808817;-3.70E-07;-7.11E-11;9.12E-15;666496;-2931;4.27885;-0.00207204;0;12;2;19;37;49;46;42;40;38;15;5;25;0;619.266;0.00173198;-4.89E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;38;109;41.8;1;2;45;123;43.9;1;4;51;142;43.2;1;2;54;148;43.8;1;0;0;0;0;0
69;ESTREITO    ;1;11;70;1;1;69;1104;0.00883;2028;115;4.827;9.527;1423;1423;622.5;622.5;622.5;622.5;557.8;0;622.5;0;0;0;0;46.53;0;0;0;0;10;5;18;38;53;52;48;43;39;15;2;21;0;556.718;0.00122176;-7.51E-08;2.17E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;184;338;61.7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;JAGUARA     ;1;11;71;1;1;70;424;0.008927;1076;116;0.921;2.91;450;450;558.5;558.5;558.5;558.5;512.6;0;558.5;0;0;0;0;33.9;0;0;0;0;8;3;20;44;56;54;46;44;44;22;5;26;0;510.03;0.00177;-7.40E-08;1.12E-11;-4.80E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;106;269;44.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;IGARAPAVA   ;1;11;72;1;1;71;210;0.009026;1480;119;4.747;1.307;480;480;512;512;512;512;494.8;0;512;0;0;0;0;52;0;0;0;0;8;5;24;48;60;58;51;48;48;26;7;29;0;494.202;0.000781652;-1.04E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;42;296;15.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;VOLTA GRANDE;1;11;73;1;1;72;380;0.009025;1584;126;4.744;2.073;2244;2244;494.87;494.87;494.87;494.87;467.27;0;494.87;0;0;0;0;201.6;0;0;0;0;9;7;24;52;65;64;54;52;50;27;5;30;0;466.01;0.000872;-7.38E-08;6.34E-12;-1.90E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;95;396;26.6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;P. COLOMBIA ;1;11;77;1;1;73;328;0.00873;1988;143;2.056;7.25;1524;1524;467.2;467.2;467.2;467.2;443.4;0;467.2;0;0;0;0;143.9;0;0;0;0;9;8;27;55;67;68;57;55;52;29;6;32;0;446.07;0.000189884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;82;497;18.9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;CACONDE     ;1;11;75;1;0;74;80.4;0.008437;94;8;1.264;11.456;51;555;825;855;825;855;750;39.06;816.347;0.19769;-0.00057357;9.69E-07;-6.33E-10;152488;-391.677;0.112147;0.000367985;-2.42E-07;18;11;35;49;60;60;54;55;47;17;19;30;0;747.211;0.100322;-0.000327461;-1.72E-07;1.73E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41.2;48;101;1;1;39.2;46;101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;E. DA CUNHA ;1;11;76;1;1;75;108.8;0.008339;148;12;0.441;4.309;14;14;665;665;665;665;573.5;0;665;0;0;0;0;1.07;0;0;0;0;22;11;25;42;58;52;47;43;41;15;7;24;0;572.299;0.0646109;-0.000232398;4.39E-07;-3.12E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;27.2;37;88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;A.S.OLIVEIRA;1;11;77;1;1;76;32;0.00824;178;12;0.556;8.085;25;25;573;573;573;573;547.6;0;573;0;0;0;0;2.7;0;0;0;0;22;11;24;45;60;54;46;42;42;21;4;24;0;545.356;0.0165986;-3.64E-05;5.12E-08;-2.64E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;89;21.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;MARIMBONDO  ;1;11;78;1;0;77;1488;0.008535;2944;245;2.622;3.191;890;6150;426;446.3;426;446.3;382.8;57.33;417.894;0.0111714;-2.29E-06;2.91E-10;-1.48E-14;586295;-3956.72;8.86381;-0.00658636;0;12;11;30;58;71;72;59;58;54;27;5;33;0;381.093;0.00140528;-2.01E-08;1.06E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;186;368;59.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;A. VERMELHA ;1;11;93;1;0;78;1396.2;0.008829;2958;364;0.189;3.612;5856;11025;373.3;383.3;373.3;383.3;326.4;43;352.03;0.00499586;-2.74E-07;7.10E-12;0;55387;-314.531;0.447977;0;0;12;16;30;53;73;74;65;61;58;23;3;27;0;323.123;-0.000457701;3.99E-07;-4.22E-11;1.40E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;232.7;493;53.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
79;EMBORCACAO  ;1;13;83;1;0;79;1192;0.008731;1048;51;2.064;3.998;4669;17725;615;661;615;661;521.9;30.87;568.09;0.014506;-1.20E-06;5.83E-11;-1.12E-15;-18194.4;56.5776;0.0451828;-0.000291219;2.39E-07;0;2;16;36;53;54;54;50;45;16;5;19;512;519.32;0.00394;-3.60E-07;4.33E-11;-2.60E-15;514;519.31;0.00249;3.44E-07;-6.20E-11;3.30E-15;516;519.53;0.00278;4.04E-08;2.77E-12;-4.90E-16;518;519.79;0.00161;8.48E-07;-1.20E-10;4.53E-15;520;519.93;0.00163;5.48E-07;-7.90E-11;3.83E-15;0;0;0;0;0;0;4;298;262;130.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;NOVA PONTE  ;1;13;81;1;0;80;510;0.009223;576;40;6.515;3.181;2412;12792;775.5;815;775.5;815;696;16.58;752.15;0.0122835;-1.26E-06;7.85E-11;-1.98E-15;-323493;930.002;-0.385236;-0.000879839;6.76E-07;16;7;23;40;61;65;67;66;54;25;13;33;0;693.296;0.0125721;-1.27E-05;8.51E-09;-2.14E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;170;192;96;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;MIRANDA     ;1;13;4;1;0;81;408;0.009117;675;42;1.092;3.055;974;1120;693;696;693;696;625.2;61.32;684.703;-0.004019;-7.94E-07;2.79E-08;-1.42E-11;63431.3;-95.5998;-0.0659363;2.46E-05;1.14E-07;7;4;18;37;54;54;53;52;41;15;5;26;0;624.525;0.0017833;-5.98E-07;1.60E-10;-1.99E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;136;225;66.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;CORUMBA I   ;1;13;83;1;0;82;375;0.008928;570;74;1.155;2.592;470;1500;570;595;570;595;518.9;22;545.893;0.0647087;-3.24E-05;7.39E-09;0;-38885.4;212.986;-0.389868;0.000238534;0;2;1;17;37;53;56;58;54;55;21;8;21;0;510.991;0.0162413;-1.18E-05;3.08E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;125;190;73.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;ITUMBIARA   ;1;13;84;1;0;83;2082;0.008829;2940;233;1.156;4.965;4573;17027;495;520;495;520;435.6;21.7;471.165;0.00728054;-5.61E-07;2.60E-11;-4.85E-16;-874789;5330.8;-10.8521;0.00738208;0;6;1;19;42;58;62;60;56;58;22;5;23;0;433;0.00159584;-8.18E-08;3.17E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;347;490;80.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;CACH.DOURADA;1;13;85;1;1;84;658;0.00873;2513;254;1.027;4.265;460;460;434.12;434.12;434.12;434.12;401.1;0;434.12;0;0;0;0;69;0;0;0;0;11;5;24;44;59;63;61;62;65;27;11;30;0;398.576;0.00212375;-2.68E-07;2.29E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;17;65;30;2;3;54;206;30;2;3;84;321;30;2;2;105;401;30;2;0;0;0;0;0
85;SAO SIMAO   ;1;13;93;1;0;85;1710;0.009025;2670;450;3.806;6.192;7000;12540;390.5;401;390.5;401;328.1;46.1;358.329;0.00861726;-8.84E-07;5.29E-11;-1.24E-15;-184844;1541.24;-4.29993;0.0040152;0;13;11;25;46;67;72;68;66;64;22;4;25;324.7;323.46;0.000405;4.20E-08;-2.00E-12;2.91E-17;326.3;325.51;0.000375;1.74E-08;-4.30E-13;7.50E-19;328;327.64;0.000277;1.01E-09;8.26E-13;-2.30E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;285;445;70.9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;BARRA BONITA;1;7;87;1;0;86;140;0.008633;756;91;0.411;6.966;569;3135;439.5;451.5;439.5;451.5;428;65.08;432.784;0.0149645;-6.71E-06;1.76E-09;-1.70E-13;-544524;3206.67;-5.1077;-0.000973225;5.48E-06;23;17;38;64;73;64;50;43;42;19;1;30;0;427.541;-0.000805216;3.08E-06;-1.35E-09;1.90E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;35;189;21.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
87;A.S. LIMA   ;1;7;88;1;1;87;144;0.008437;771;103;0.382;9.505;544;544;427.5;427.5;427.5;427.5;405;0;427.5;0;0;0;0;62.55;0;0;0;0;21;16;38;64;74;67;53;47;46;21;2;30;0;403.947;0.000480275;1.56E-06;-8.13E-10;1.22E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;48;257;22.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;IBITINGA    ;1;7;89;1;1;88;131.4;0.008829;702;128;0.655;6.09;985;985;404;404;404;404;382.5;0;404;0;0;0;0;114.82;0;0;0;0;19;16;37;63;75;69;55;50;49;23;3;31;0;379.348;0.00225722;1.96E-07;-3.24E-10;5.88E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;43.8;234;21.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;PROMISSAO   ;1;7;90;1;0;89;264;0.008829;1293;149;0.178;5.729;5280;7408;379.7;384;379.7;384;358.7;83.96;369.694;-0.000524999;1.08E-06;-1.60E-10;7.93E-15;-33929.7;163.813;-0.192901;0;0;16;18;37;62;77;72;59;55;53;22;4;30;0;358.004;-0.000240967;5.60E-07;-1.23E-10;8.03E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;88;431;23.1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;NAVANHANDAVA;1;7;93;1;1;90;347.4;0.008829;1431;153;2.157;17.2;2720;2720;358;358;358;358;328;0;358;0;0;0;0;212;0;0;0;0;16;20;37;60;77;73;60;56;53;21;4;28;0;323.085;0.00431485;-2.13E-06;5.68E-10;-5.38E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;115.8;477;27.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;GUARAPIRANGA;1;7;92;1;0;91;0;0;0;3;0;0;0.773;189.956;724.5;736.62;724.5;736.62;720;88.5;725.889;0.124814;-0.00083792;3.64E-06;-5.88E-09;5.19E+06;-21321.2;29.2187;-0.0133454;0;12;14;34;38;40;35;25;26;21;7;5;22;0;720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;BILLINGS    ;1;7;9;1;0;92;0;0;0;2;0;0;0.978;1132.65;728;746.5;728;746.5;728.75;85;728.996;0.0472163;-8.38E-05;8.24E-08;-2.92E-11;-985971;4018.06;-5.46664;0.00248312;0;10;12;35;46;49;43;28;22;16;1;-5;14;0;728.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;I. SOLT. EQV;1;8;94;1;0;93;4251.5;0.008829;11604;1468;0.765;7.03;25467;34432;323;328;323;328;281.1;0;294.181;0.00205514;-5.66E-08;9.70E-13;-6.70E-18;-52393.8;115.69;0.435097;-0.000290376;-1.74E-06;16;25;39;58;79;74;65;63;58;18;5;26;0;279.88;9.57E-05;1.21E-08;-5.83E-13;7.60E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;176;480;41.5;1;11;170;464;41.5;1;5;174;475;41.5;1;5;161.5;441;41.5;1;0;0;0;0;0
94;JUPIA       ;1;8;95;1;1;94;1551.2;0.008731;8344;1649;2.071;5.943;3354;3354;280;280;280;280;257;0;280;0;0;0;0;327;0;0;0;0;18;27;42;58;79;71;60;60;58;14;8;28;0;253.441;0.00057866;1.44E-08;-1.42E-12;2.61E-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;110.8;596;21.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;P. PRIMAVERA;1;8;8;1;0;95;1540;0.009133;8904;1881;0.592;4.595;14400;20000;257;259;257;259;239.2;0;239.17;0.002497;-1.26E-07;3.05E-12;-2.57E-17;-48569;279.49;-0.32318;0;0;9;18;27;37;68;63;43;37;38;-14;-13;10;0;234.498;0.000707983;-2.52E-08;4.65E-13;-3.26E-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;110;636;18.95;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;MANSO       ;1;9;-1;1;0;96;210;0.008829;400;42;1.707;6.101;4386;7337;278;287;278;287;224.8;49.11;279.97;-0.010212;3.93E-06;-4.77E-10;2.03E-14;596505;-5893.38;17.6844;-0.00960197;-1.98E-05;29;28;41;34;45;61;69;100;49;24;22;41;0;223.898;0.00457043;-4.20E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;52.5;100;59.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;A.A. LAYDNER;1;6;7;1;0;97;100.956;0.008947;364;55;0.195;2.499;3843;7008;559.7;568;559.7;568;532.29;85.85;542.555;0.00636701;-6.75E-07;5.39E-11;-1.90E-15;-4.20E+06;22482.7;-40.1091;0.0238662;0;25;24;42;64;76;67;51;41;31;9;-2;34;0;531.39;0.00404814;-1.40E-06;2.71E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;50.478;182;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;CHAVANTES   ;1;6;25;1;0;98;414;0.008731;644;73;0.402;2.276;5754;8795;465.23;474;465.23;474;398.7;85.77;437.472;0.0066313;-3.75E-07;1.06E-11;0;12734.1;-64.7446;0.0816951;0;0;27;19;45;70;81;71;56;43;43;13;-6;18;0;397.028;0.00439642;-1.25E-06;1.79E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;103.5;161;73.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;L.N. GARCEZ ;1;6;100;1;1;99;73.8;0.008338;580;96;0.164;4.136;45;45;384.67;384.67;384.67;384.67;366.6;0;384.67;0;0;0;0;11.59;0;0;0;0;28;22;40;54;59;49;40;43;51;25;18;39;0;365.507;0.00204802;-9.79E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;18.45;145;15.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;CANOAS II   ;1;6;101;1;1;100;72;0.008829;561;96;0.076;4.881;151;151;366;366;366;366;351.1;0;366;0;0;0;0;23.52;0;0;0;0;26;22;41;58;68;56;44;41;46;15;7;32;0;350.957;0.00137968;-8.06E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;24;187;14.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
101;CANOAS I    ;1;6;102;1;1;101;82.5;0.008928;567;98;0.164;6.17;212;212;351;351;351;351;333.8;0;351;0;0;0;0;29.11;0;0;0;0;22;22;41;59;71;61;45;40;44;11;2;27;0;333.377;0.00199413;-5.50E-07;8.25E-11;-4.56E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;27.5;189;16.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;CAPIVARA    ;1;6;103;1;0;102;619;0.008338;1686;192;0.12;6.579;4816;10540;321;334;321;334;285.2;92.11;297.875;0.00718807;-6.63E-07;3.95E-11;-9.87E-16;11308.2;-54.3644;-0.0323012;0.000295981;0;13;20;37;54;77;70;52;44;43;1;-6;15;0;283.463;0.00130832;-6.90E-08;1.68E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;152;414;44;1;1;163;444;44;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;TAQUARUCU   ;1;6;104;1;1;103;525;0.009143;2550;200;0.282;5.165;677;677;284;284;284;284;259.08;0;284;0;0;0;0;74.58;0;0;0;0;12;21;33;46;73;65;47;41;41;-6;-7;15;0;257.429;0.00125857;-1.11E-07;6.12E-12;-1.27E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;105;510;22.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;ROSANA      ;1;6;8;1;1;104;354;0.009143;2468;227;1;4.197;1918;1918;258;258;258;258;237.43;0;258;0;0;0;0;217.66;0;0;0;0;9;18;28;39;69;64;43;38;37;-15;-14;9;0;235.275;0.00159059;-9.21E-08;2.00E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;88.5;617;15.7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;MAUA        ;2;6;102;1;0;105;352.08;0.008893;339;27;1.707;6.429;1473;2137;626;635;626;635;512.86;100;588.69;0.0401811;-1.41E-05;3.21E-09;-3.02E-13;-1224.27;2.06006;-4.42E-08;0;0;-32;-9;13;60;87;80;86;80;56;16;-21;-16;0;510.598;0.00924259;-6.77E-06;3.19E-09;-5.68E-13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;117.36;113;116.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;STA CLARA PR;2;4;107;1;0;106;120.168;0.008829;162;14;2.665;4.366;169;431;787.5;805;787.5;805;706.1;100;766.125;0.168866;-0.000312812;3.99E-07;-2.25E-10;1980;-2.29164;-0.00222824;2.51E-08;3.13E-09;13;23;39;53;52;42;27;22;6;-15;-10;4;0;705.5;0.00357997;8.09E-06;-1.97E-08;1.22E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;60.084;81;84.35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;FUNDAO      ;2;4;132;1;1;107;120.168;0.008829;152;14;0.762;4.523;35;35;705.5;705.5;705.5;705.5;609;0;668.905;2.78138;-0.112022;0.0026005;-2.30E-05;-707604;4096.38;-8.8908;0.00857417;-3.10E-06;14;28;48;64;62;52;33;26;9;-13;-9;6;0;604.918;0.0278099;-4.63E-05;3.36E-08;-8.92E-12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;60.084;76;89.45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;G.B. MUNHOZ ;2;4;133;1;0;108;1676;0.009025;1376;80;3.556;6.021;1974;5779;700;742;700;742;602;100;650.876;0.0349868;-6.50E-06;7.78E-10;-3.95E-14;12303;-35.9336;0.0263396;0;0;2;21;41;61;63;56;39;30;7;-17;-19;-10;0;601.886;0.00110583;4.21E-07;-8.31E-11;4.76E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;419;344;135;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;BAIXO IGUACU;2;4;-1;0;1;109;350.199;0.009025;2502;160;2.533;8.091;183;211.92;258;259;258;259;242.55;0;259;0;0;0;0;31.63;0;0;0;0;-38;-10;25;57;79;81;72;61;37;-11;-38;-50;0;240.83;0.0004;-5.00E-09;1.00E-13;-8.00E-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;116.733;834;15.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
