number;name;subsystem;basin;hydro plants downstream;hydro_plant_operating; run-of-river hydro plants;historical_inflow;max_generation;production_factor;maximum turbined outflow;minimum outflow;forced_indisponibility;programmer_indisponibility;min_volume;max_volume;COTA_MINIMO;COTA_MAXIMO;COTA_MINIMO_OPERACIONAL;COTA_MAXIMO_OPERACIONAL;CANAL_FUGA_MEDIO;initial_volume;POLI_COTA_VOLUME_0;POLI_COTA_VOLUME_1;POLI_COTA_VOLUME_2;POLI_COTA_VOLUME_3;POLI_COTA_VOLUME_4;POLI_COTA_AREA_0;POLI_COTA_AREA_1;POLI_COTA_AREA_2;POLI_COTA_AREA_3;POLI_COTA_AREA_4;EVAPORACAO_01;EVAPORACAO_02;EVAPORACAO_03;EVAPORACAO_04;EVAPORACAO_05;EVAPORACAO_06;EVAPORACAO_07;EVAPORACAO_08;EVAPORACAO_09;EVAPORACAO_10;EVAPORACAO_11;EVAPORACAO_12;POLI_JUSANTE_1_HREF;POLI_JUSANTE_1_COEF_0;POLI_JUSANTE_1_COEF_1;POLI_JUSANTE_1_COEF_2;POLI_JUSANTE_1_COEF_3;POLI_JUSANTE_1_COEF_4;POLI_JUSANTE_2_HREF;POLI_JUSANTE_2_COEF_0;POLI_JUSANTE_2_COEF_1;POLI_JUSANTE_2_COEF_2;POLI_JUSANTE_2_COEF_3;POLI_JUSANTE_2_COEF_4;POLI_JUSANTE_3_HREF;POLI_JUSANTE_3_COEF_0;POLI_JUSANTE_3_COEF_1;POLI_JUSANTE_3_COEF_2;POLI_JUSANTE_3_COEF_3;POLI_JUSANTE_3_COEF_4;POLI_JUSANTE_4_HREF;POLI_JUSANTE_4_COEF_0;POLI_JUSANTE_4_COEF_1;POLI_JUSANTE_4_COEF_2;POLI_JUSANTE_4_COEF_3;POLI_JUSANTE_4_COEF_4;POLI_JUSANTE_5_HREF;POLI_JUSANTE_5_COEF_0;POLI_JUSANTE_5_COEF_1;POLI_JUSANTE_5_COEF_2;POLI_JUSANTE_5_COEF_3;POLI_JUSANTE_5_COEF_4;POLI_JUSANTE_6_HREF;POLI_JUSANTE_6_COEF_0;POLI_JUSANTE_6_COEF_1;POLI_JUSANTE_6_COEF_2;POLI_JUSANTE_6_COEF_3;POLI_JUSANTE_6_COEF_4;CONJUNTO_1_NUM_MAQUINAS;CONJUNTO_1_POTENCIA_REF;CONJUNTO_1_VAZAO_REF;CONJUNTO_1_QUEDA_REF;CONJUNTO_1_TIPO_TURBINA;CONJUNTO_2_NUM_MAQUINAS;CONJUNTO_2_POTENCIA_REF;CONJUNTO_2_VAZAO_REF;CONJUNTO_2_QUEDA_REF;CONJUNTO_2_TIPO_TURBINA;CONJUNTO_3_NUM_MAQUINAS;CONJUNTO_3_POTENCIA_REF;CONJUNTO_3_VAZAO_REF;CONJUNTO_3_QUEDA_REF;CONJUNTO_3_TIPO_TURBINA;CONJUNTO_4_NUM_MAQUINAS;CONJUNTO_4_POTENCIA_REF;CONJUNTO_4_VAZAO_REF;CONJUNTO_4_QUEDA_REF;CONJUNTO_4_TIPO_TURBINA;CONJUNTO_5_NUM_MAQUINAS;CONJUNTO_5_POTENCIA_REF;CONJUNTO_5_VAZAO_REF;CONJUNTO_5_QUEDA_REF;CONJUNTO_5_TIPO_TURBINA
11;FONTES      ;1;10;52;1;1;11;131.988;0.00834;51;0;3.581;4.407;445.35;445.35;415;415;415;415;90.3;0;415;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;43.996;17;303.3;1;2;43.996;17;303.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;BAGUARI     ;1;12;57;1;1;12;140;0.009221;872;116;6.793;2.314;31.42;38.07;184.5;185;184.5;185;167;0;180.446;0.173482;-0.00141451;0;0;-613.95;3.39521;-1.27E-07;0;0;-11;5;37;57;76;71;72;42;31;21;11;-1;0;164.995;0.00207961;-2.61E-07;2.16E-11;-6.73E-16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;35;218;17.4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;RETIRO BAIXO;1;15;14;1;0;13;83.657;0.008755;262;15;0.982;5.343;200.72;241.59;614;616;614;616;577;12.76;591.535;0.164251;-0.000260711;0;0;-723789;2350.04;-1.9075;0;0;-21;-14;9;30;45;49;69;83;60;30;1;-12;0;577;0.00687719;-2.10E-06;3.63E-10;-2.36E-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41.803;131;36.54;2;1;41.854;131;36.54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;TRES MARIAS ;1;15;137;1;0;14;396;0.008564;924;48;2.583;17.09;4250;19528;549.2;572.5;549.2;572.5;515.7;7.78;530.332;0.00607596;-4.84E-07;2.20E-11;-3.85E-16;1.21E+07;-89343.7;247.989;-0.306089;0.000141775;-1;-2;28;47;61;61;58;49;49;35;21;22;0;514.656;0.00160686;-2.55E-07;2.89E-11;-1.18E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;66;154;50.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;QUEIMADO    ;1;15;137;1;0;15;105;0.008829;72;9;14.65;9.02;95.25;557;811;829;811;829;637.5;30.75;801.789;0.114233;-0.000197701;1.44E-07;-2.49E-17;-7.22E+06;26548.2;-32.5292;0.0132864;0;21;4;21;33;59;70;77;79;80;51;17;51;0;636.2;0.03073;-0.00015531;5.08E-07;-6.10E-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;35;24;168.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;JAURU       ;1;9;-1;1;1;16;118;0.00899;127;55;0.177;9.827;16.17;17.15;354.7;355;354.7;355;248.86;0;349.74;0.3067;0;0;0;-90.0009;0.259597;0;0;0;17;11;27;26;34;46;43;54;27;12;7;26;0;248.44;-0.00891667;0.000180833;-8.33E-07;1.27E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;39.3;42;102.86;1;1;39.4;43;102.86;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;GUAPORE     ;1;21;34;1;1;17;120;0.008437;84;26;1.347;1.83;21;21;479.2;479.2;479.2;479.2;304.8;0;479.2;0;0;0;0;4.1;0;0;0;0;16;5;16;18;28;36;39;43;32;11;7;20;0;302.153;0.0749012;-0.000465761;1.48E-06;-1.76E-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;40;28;166.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;CORUMBA III ;1;13;82;1;0;18;96.447;0.009086;278;27;0.7;2.828;709;972;768;772;768;772;729.7;10.07;749.674;0.0203488;4.57E-05;-7.84E-08;3.52E-11;41799;-111.95;0.075;0;0;12;11;19;32;57;63;68;72;72;42;21;37;0;727.913;0.017472;-3.48E-05;3.96E-08;-1.64E-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47.804;138;38.2;1;1;48.643;140;38.2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;SLT APIACAS ;1;19;-1;0;1;19;45;0.008662;204;3;2.333;6.861;2.08;2.08;247.5;247.5;247.5;247.5;221;0;247.5;0;0;0;0;0.75;0;0;0;0;24;2;8;4;18;31;36;54;40;31;40;49;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;15;68;25.61;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;SINOP       ;1;19;21;0;0;20;399.999;0.009074;1800;267;2.533;8.091;1012.4;3071.2;292;302;292;302;273.3;0;281.808;0.0129467;-3.37E-06;5.32E-10;-3.66E-14;-3.94E+08;5.27E+06;-26477.1;59.0849;-0.0494359;26;21;25;2;4;25;32;45;56;23;22;41;0;271.967;0.000920847;2.38E-07;-7.12E-11;5.31E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;133.333;600;24.5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;COLIDER     ;1;19;22;0;1;21;300;0.008829;1581;292;2.533;8.091;1525;1525;272;272;272;272;248.22;0;254.592;0.0245419;-1.85E-05;9.95E-09;-2.26E-12;2.17E+07;-330311;1889.29;-4.80212;0.00457672;24;6;11;11;34;42;43;62;48;30;34;44;0;244.848;0.00351272;-6.25E-07;8.82E-11;-4.80E-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;100;527;21.51;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
